,date,open,close,high,low,volume,code
0,2007-03-01,21.878,20.473,22.302,20.04,1977633.51,601318
1,2007-03-02,20.565,20.307,20.758,20.075,425048.32,601318
2,2007-03-05,20.119,19.419,20.202,19.047,419196.74,601318
3,2007-03-06,19.253,19.8,20.128,19.143,297727.88,601318
4,2007-03-07,19.817,20.338,20.522,19.651,287463.78,601318
5,2007-03-08,20.171,20.093,20.272,19.988,130983.83,601318
6,2007-03-09,20.084,19.922,20.171,19.559,160887.79,601318
7,2007-03-12,19.821,19.563,19.821,19.471,145353.06,601318
8,2007-03-13,19.607,19.642,19.804,19.524,102319.68,601318
9,2007-03-14,19.384,19.664,19.734,19.161,173306.56,601318
10,2007-03-15,19.918,19.673,20.342,19.603,152521.9,601318
11,2007-03-16,19.686,19.782,20.106,19.428,227547.24,601318
12,2007-03-20,20.478,20.031,20.53,19.909,222026.87,601318
13,2007-03-21,20.04,19.734,20.128,19.646,136728.32,601318
14,2007-03-22,19.887,19.848,20.093,19.791,167509.84,601318
15,2007-03-23,19.839,19.76,19.922,19.563,139810.14,601318
16,2007-03-26,19.778,20.101,20.215,19.769,223266.79,601318
17,2007-03-27,20.036,20.088,20.285,19.966,139338.19,601318
18,2007-03-28,20.084,20.382,20.522,19.944,258263.69,601318
19,2007-03-29,20.482,20.74,21.349,20.338,461986.18,601318
20,2007-03-30,20.548,20.587,20.946,20.443,144617.2,601318
21,2007-04-02,20.587,21.174,21.309,20.587,231445.03,601318
22,2007-04-03,21.187,21.095,21.335,20.959,132712.04,601318
23,2007-04-04,21.099,20.911,21.222,20.806,122454.69,601318
24,2007-04-05,20.915,20.968,21.003,20.653,122865.38,601318
25,2007-04-06,20.863,21.007,21.419,20.784,195208.52,601318
26,2007-04-09,21.042,22.582,22.705,20.872,462770.21,601318
27,2007-04-10,22.316,23.112,23.488,22.316,407823.9,601318
28,2007-04-11,23.138,23.427,24.145,23.016,243446.5,601318
29,2007-04-12,23.619,23.383,25.378,23.169,159270.43,601318
30,2007-04-13,23.672,24.079,24.696,23.628,266689.45,601318
31,2007-04-16,24.355,24.687,24.744,24.355,146972.27,601318
32,2007-04-17,24.7,24.131,24.95,23.453,197243.88,601318
33,2007-04-18,24.057,23.589,24.105,23.366,130322.35,601318
34,2007-04-19,23.409,22.744,23.759,21.97,205586.7,601318
35,2007-04-20,23.042,24.215,24.678,22.915,185690.28,601318
36,2007-04-23,24.228,24.932,25.19,24.013,146934.59,601318
37,2007-04-24,25.374,24.425,25.383,24.394,160472.87,601318
38,2007-04-25,24.118,24.814,25.247,24.026,145938.47,601318
39,2007-04-26,24.757,25.602,25.676,24.757,184961.32,601318
40,2007-04-27,25.619,27.829,28.161,25.51,389838.64,601318
41,2007-04-30,27.654,28.813,29.68,27.295,204190.44,601318
42,2007-05-08,29.667,28.756,29.745,28.441,132325.58,601318
